WISEID,Answer,KIScore
118296,"I think they are simalar because, the solar ovens will let in heat but not let out heat.

Katie",4
118300,"Well were going to be using cardboard instead of glass.
They are cardboard boxes.",2
118302,A is similar because the glass looks like the solar panals.,2
118310,i think that the solar oven will match our project because we are trying to make inside the solar oven hot in there.,2
118304,The heat from the sun gets trapped in the oven and can't escape. it warms up the food. The earth is like the tin foil.,3
118313,The solar oven will absorb sunlight and the solar panel will keep it in there. Also the shiny side of the solar panel will attract sunlight to come in.,3
118319,both examples trap heat and do not let it out so anything inside will heat up.,4
118297,because both are letting sun in and reflecting sun at the same time,2
118298,"First, is the sun represents heat and the solar oven represents heat as well. Second they both are just similar.",2
118311,first the oven collects heat from the sun to get solar power.second the sun hits the solar pannel and gives it power,2
118305,the house is made out of card  board band the solar oven is affecting what is inside. ,2
118293,A is similar because the glass acts like the tin foil in the solar oven. B is similar because the atmosphere acts like the tin foil in the solar oven.,3
118299,"1 reason,Sun reflects to glass so it hits more sun.2 reason,Earth circluates around the sun so the sun pretty much hits every single planet inculding of course the earth so it would hit the earth. ",2
118309,"solar ovens trap heat,and they get lots of heat",2
118307,They both act in the same way and both would function like a solar oven.,3
118306,the sun makes the green house warmer than the air outside ,2
118308,WE are making a solar oven and the pictures are related to a green house ,2
118321,Yes because picture A  has the glass on the roof and looks kind of looks the project,2
118312,"Yes,picture A is similar because that is how our solar oven will look like.Also,the sun will heat the the inside like the greenhouse.",3
118318,on both pictures a and b they are both the same because the sun is going through earth and the house.,3
118303,They both do the same thing as a solar oven does. Also they both effect the sources of earth's heat.,2
118314,yes becoue thay are both doing the the same thing ,2
118301,I think it's like picture A because it shines through and giving the plants sunlight.Another reason is it's has more sunlight by the sun and it's the same with the solar oven.,3
118316,picture (a) is similar because the greenhouse attracts heat just like the solar ovens. ,2
118320,"Yes, both of them are similar because picture A is giving one thing sunlight so it can grow.Picture B is similar because it is giving the earth sunlight and heat.",4
118294,0,1
118315,because the sun light will reflect onto the food and it will not close it will just use the sunlight it already has,3
118323,"Yes, both are very similar because the solar oven atracts alot of heat just like the glass and the earth they all keep the heat inside.                                                  

SOLAR = SOL = SUN",3
118482,0,1
118478,The solar power from the sun refects off the solar oven.,2
118479,"1.they are both in the same galxey
2.they deal with sun and plants


",2
118480,its similar because the suns rays are inside the box so it can cook the food. its also because it attracks the sun. And it gets its power from the sun.,3
118473,i imagen the solar oven can cook and its going to be good how to observait how it builds up into a solar oven,2
118474,hskbytsnzgkuvkcjrwqetk-9f0e[pol,1
118483,0,1
118470,Picture B isn't similar because the ovens are not going to be able to reflect back outside.,2
118472,0,1
118468,"They are both similar because in the solar oven, the heat bounces back to the food or whatever you are putting inside of the oven so it cooks whatever is in it. Also it makes it so the heat goes to the food and the box parts goes to reflect the light/heat so it is alike.",3
118475,It reflects heat like the solar oven and contains the heat.,3
118477,The reason why I chose A was because first of all the reason why the sun is hitting it is because of the mirrors on the top. Last because it is also see thru windows so the sun could instantly hit it.,2
118465,Neither are designed to get really hot.,2
118487,we are letting energy come in but we are not letting out and we are covering it with something,3
118488,?,1
118486,I said picture a because the heat has to inside the oven and it can't escape or else it won't heat up.Also the heat can't escape from the oven/,3
118484,0,1
118485,0,1
118490,because it is nothing like the solar oven because it grows the plant what we are doing is experementing if the foils and the other objects we have,2
118467,A. Its similar because its gonna aim to whatever u put in it.,2
118471,The solar panels use the suns rays to generate power and the panels get heat into the oven and that heats up what is in the oven.,3
118469,0,1
118466,"the sun is giving light to the plants and making them live
",3
118543,there not similar because the heat is not going down in picture a but in b it is. another reason is picture b is affecting the earth and picture a is only affecting the greenhose,2
118515,0,1
118517,"First picture A is like what will happen and picture B is like A so they both show what will happen I think.
",2
118533,"because they both show the gasses and heath getting trapped ,And they both show heat reflecting",3
118518,The first reason is because the way a solar oven cooks the food is by heat. The second reason is becaause the box needs to trap the air like a green house and the atmosphere. ,2
118548,Both are similar because the sun can reflect on the glass in the greenhouse to make it hot and also with the solar ovens so that we can cook the food. Also we will be using the sun to cook the food in the solar ovens and for the greenhouse they also used the sun for the plants.,2
118522,they do the same thing and reflect light tours a sertain way,3
118562,the roof the heat waves and the plants,2
118526,I know this because the earth is the heat to are solar oven.,2
118567,"picture b is similar to the oven because the sun goes in the atmosphere to heat the earth, but it can't get out one more reason is because the atmosphere is like the glass in the solar oven.",3
118516,Neither are simaller because it reprisents glass not tin ,2
118521,0,1
118520,1.Because it goes through the glass 2.it goes through the atmosphere,2
118514,"In picture a and b heat is coming into the greenhouse.Also the heat is reaching the surface, and staying in the picture. Finally, the heat is either heating the plants or the surface of the earth.",2
118512,In picture a the sunlight goes in and stays and in the solar oven the oven takes in the heat and uses it. Both things also have something in side getting affected by the sunlight.,3
118509,The sun reflects in and out of the oven and the solar oven has glass on it.,2
118534,"none are simillar because they are diffrent meanings
",2
118519,"yes they are similar because both of then are shinning hard.And both of them have vibrashion
",2
118511,because they dont look simaler.,2
118542,Yes they are both similar because the solar energy helps the plants grow in the green house and the solar oven cooked the food with solar energy.,4
118537,I said neither of them because we haven't done it.,2
118529,One reason is that we could use something like the glass panels so it could allow heat in the oven. Another reason is that we could use the glass panels to keep the heat inside.,3
118536,the glass or plastic will trap the sunlight and the tinfoil will reflect the sunlight into the item in the solar oven.,3
118523,"because there both heating up,qlso the atmosphere is like the galss pannel th e sun heat passes through

",2
118530,"1.yes because the greenhouse is like an oven for the plants
2.yes because the sun gives light to the plants that are inside of the greenhouse but if it's a lot of sun a a little more better",3
118510,The heat goes and stays in the greenhouse like how the heat stays in the green house after it goes in.,3
118513,because itll attract sun and keep heat in.,3
118556,I think the reason is that because the glass brings the heat and the other one is the outer layer keeps in the heat.,2
118549,i think that pictures are similar because my teacher side that the soler over will run on the power of the sun just like the green house the plants grow and the helps so they are both similar because they represent the same thing  ,2
118607,the solar oven will let light pass through but not let heat pass out. the solar oven will absorb as much heat as possible.,4
118622,0,1
118604,"the glass is the  green house and the pic ture B is almost the same thing but much biger
",2
118614,the b picture is similar because it is the earth which is solar,2
118628,"I don't know what a solar oven is, but just the name makes it sound like the pictures with the glass.",2
118632,0,1
118602,"
??????????????",1
118600,They both heat the ground or floor.,2
118623,"Yes it is simalar to A because both are releasing gas,and both are having something to do with heat.",2
118613,one shows earyh the other shows a house one shows the sun beam through and the other reflects one shows the sun the other doesnt show the sun in the piucture ,2
118610,"well,the sun's heat will come to earth and heat it up, but then the heat get used and obsorbed.",2
118618,One reason is that the heat/light will bounce off of the shiny reflectors. Another reason is that most greenhouses are humid and hot. The solar oven also reflects the light which creates heat to heat up the food.,3
118626,0,1
118621,0,1
118611,0,1
118606,"the light heats the house.
the house is good for the inviourment",3
118620,because were trapping it. were keeping it in.,3
118616,0,1
118601,They both have the same affect as a solar oven.The green house uses the same method as the atmosphere.,3
118615,Because it is similar to picture A. Picture A shows a house with heat energy.,2
118624,0,1
118634,0,1
118609,icant,1
118612,the solar oven reflexts the sun to the object inside the box not into space,2
118947,0,1
118344,"because the heat is traped inside of the green house

Also it gets to a hot temp to cook some thing to eat like breakfast, lunch or dinner        ",3
118337,0,1
118358,"1.They both trap solar energy
and
2.They both are used the same way kinda.",3
118350,One reason is the reflective material in the box attract the sunlight and then just bounces around because the reflective material just keeps the heat moving around the box. Another reason is that the food is like the Earth it absorbs some of the sunlight's energy.,3
118353,Because the picture is coming in and reflecking out.,2
118346,Because when the wall observe the heat they will make the greenhouse warm.,2
118366,The solar oven reacts like the glass of the green house or the atmosphere,2
118352,The greenhouse is like our solar ovens because it keeps the heat in while keeping other things out.,3
118355,First it lets it in then lets it stay in warming and heating the food/cooking item inside. It also lets heat escape but very slowly witch keeps the food hot but not too hot,2
118338,"The sun heats up the glass like a solar oven to cook. Also, the solar oven cooks food and the glass puts heat on the plants to grow.",2
118348,They are both because it reflects.,2
118349,first they both need sun second they both need heat,2
118354,because the green house has the solar oven like it but the B picture the sun jumps of the earth.,2
118351,The picture of A is almost like twins the both absorb sun light.,3
118361,0,1
118345,They are similar because they are radiating heat so then that space heats up.,2
118341,"A solar oven works by trapping heat inside the cooker, heating the food. It works like a greenhouse. ",3
118367,because they both have glass,2
118343,"I think they're both the same because heat passes through the windows just like how heat passes through the solar ovens. Another reason why i picked that answer, is because the atmosphere acts like the solar panels in the solar oven and the greenhouse windows are the same thing, it acts like the panels in the solar oven.",2
118357,because the soler ufin is ceping the heat in and cooking the food.,2
118369,The solar panels attract the sun like the picture and the solar ovens.,2
118339,"B is similar because the sun provides heat for the oven, and the oven can let air out sometimes.",2
